Confirmed,Recovered,Deaths,Latitude,Longitude,State,StateCode,Region,Division,Fips,Pop_Rank,Est_Pop_2019,Perc_of_Tot_Pop
"3,97,684","70,435","31,143",40.7056258,-73.97968,New York,NY,Northeast,Middle Atlantic,36,4,19453561,0.0586
"2,23,995",No data,"5,979",37.2718745,-119.2704153,California,CA,West,Pacific,6,1,39512223,0.1191
"1,73,126","30,163","14,992",40.1430058,-74.7311156,New Jersey,NJ,Northeast,Middle Atlantic,34,11,8882190,0.0268
"1,58,756","81,335","2,430",31.1693363,-100.0768425,Texas,TX,South,West South Central,48,2,28995881,0.0874
"1,46,333",No data,"3,446",27.9757279,-83.8330166,Florida,FL,South,South Atlantic,12,3,21477737,0.0647
"1,43,885",No data,"7,115",39.739318,-89.504139,Illinois,IL,Midwest,East North Central,17,5,12671821,0.0386
"1,08,768","88,725","8,095",42.062939799999995,-71.718067,Massachusetts,MA,Northeast,New England,25,15,6949503,0.0209
"90,553","67,070","6,663",40.99459279999999,-77.6046984,Pennsylvania,PA,Northeast,Middle Atlantic,42,6,12801989,0.0382
"74,816",No data,"2,739",32.6781248,-83.22297569999999,Georgia,GA,South,South Atlantic,13,8,10617423,0.032
"74,602","9,179","1,598",34.1682185,-111.930907,Arizona,AZ,West,Mountain,4,14,7278717,0.0219
"70,356","49,290","6,165",44.9435598,-86.41580490000001,Michigan,MI,Midwest,East North Central,26,10,9986857,0.0301
"67,837","4,979","3,175",38.806352399999994,-77.2684162,Maryland,MD,South,South Atlantic,24,19,6045680,0.0182
"63,684","45,538","1,341",35.2145629,-79.8912675,North Carolina,NC,South,South Atlantic,37,9,10488084,0.0316
"62,189","8,023","1,740",38.0033855,-79.4587861,Virginia,VA,South,South Atlantic,51,12,8535519,0.0257
"57,189","39,792","3,199",30.9733766,-91.42990970000001,Louisiana,LA,South,West South Central,22,25,4648794,0.013999999999999999
"51,046",No data,"2,818",40.1903624,-82.6692525,Ohio,OH,Midwest,East North Central,39,7,11689100,0.0352
"46,370","31,739","2,624",39.7662195,-86.441277,Indiana,IN,Midwest,East North Central,18,17,6732219,0.0203
"46,362","8,053","4,320",41.518783500000005,-72.75750699999999,Connecticut,CT,Northeast,New England,9,29,3565287,0.0107
"41,388","23,567",585,35.830521000000005,-85.97859890000001,Tennessee,TN,South,East South Central,47,16,6833174,0.0206
"37,175","15,974",929,32.601011199999995,-86.6807365,Alabama,AL,South,East South Central,1,24,4903185,0.0148
"35,896","29,065","1,470",46.4418595,-93.3655146,Minnesota,MN,Midwest,West North Central,27,22,5639632,0.017
"34,644","13,456",720,33.62505,-80.9470381,South Carolina,SC,South,South Atlantic,45,23,5148714,0.0155
"34,036",No data,"1,321",38.899348700000004,-77.0145665,Washington,WA,West,Pacific,53,13,7614893,0.0229
"32,495","4,459","1,682",38.9979339,-105.55056699999999,Colorado,CO,West,Mountain,8,21,5758736,0.0174
"31,110","19,543",786,44.7862968,-89.82670490000001,Wisconsin,WI,Midwest,East North Central,55,20,5822434,0.0175
"28,874","22,870",712,41.9383166,-93.389798,Iowa,IA,Midwest,West North Central,19,31,3155070,0.0095
"26,568","17,242","1,059",32.5851062,-89.8772196,Mississippi,MS,South,East South Central,28,34,2976149,0.009000000000000001
"21,818","9,863",168,39.4997605,-111.547028,Utah,UT,West,Mountain,49,30,3205958,0.0097
"21,748",No data,"1,026",38.3046615,-92.437099,Missouri,MO,Midwest,West North Central,29,18,6137428,0.0185
"20,257","10,793",265,34.7519275,-92.13137840000002,Arkansas,AR,South,West South Central,5,33,3017825,0.0091
"19,064","11,980",273,41.5008195,-99.680902,Nebraska,NE,Midwest,West North Central,31,37,1934408,0.0058
"17,971",689,505,38.502032,-117.0230604,Nevada,NV,West,Mountain,32,32,3080156,0.0093
"16,764","1,627",946,41.5827282,-71.5064508,Rhode Island,RI,Northeast,New England,44,44,1059361,0.0032
"15,657","3,534",584,37.8222935,-85.76823990000001,Kentucky,KY,South,East South Central,21,26,4467673,0.0135
"14,569",794,276,38.4987789,-98.32007790000002,Kansas,KS,Midwest,West North Central,20,35,2913314,0.0088
"13,172","8,507",385,35.309765399999996,-98.71655849999999,Oklahoma,OK,South,West South Central,40,28,3956971,0.0119
"11,982","5,296",493,34.1662325,-106.02606850000001,New Mexico,NM,West,Mountain,35,36,2096829,0.0063
"11,376","6,459",507,39.145251,-75.41892059999999,Delaware,DE,South,South Atlantic,10,45,973764,0.0029
